1-Australia,1,Australia
2-Austria,2,Austria
3-Belgium,3,Belgium
4-British Virgin Islands,4,British Virgin Islands
5-Cayman Islands,5,Cayman Islands
6-Christmas Island,6,Christmas Island
7-Croatia,7,Croatia
8-Cyprus,8,Cyprus
9-Czech Republic,9,Czech Republic
10-Denmark,10,Denmark
11-Estonia,11,Estonia
12-unidentified,12,unidentified
13-Faroe Islands,13,Faroe Islands
14-Finland,14,Finland
15-France,15,France
16-Germany,16,Germany
17-Greece,17,Greece
18-Hungary,18,Hungary
19-Iceland,19,Iceland
20-India,20,India
21-Ireland,21,Ireland
22-Italy,22,Italy
23-Latvia,23,Latvia
24-Lithuania,24,Lithuania
25-Luxembourg,25,Luxembourg
26-Mexico,26,Mexico
27-Netherlands,27,Netherlands
28-Norway,28,Norway
29-Poland,29,Poland
30-Portugal,30,Portugal
31-Romania,31,Romania
32-Russia,32,Russia
33-San Marino,33,San Marino
34-Slovakia,34,Slovakia
35-Slovenia,35,Slovenia
36-Spain,36,Spain
37-Sweden,37,Sweden
38-Switzerland,38,Switzerland
39-Ukraine,39,Ukraine
40-United Arab Emirates,40,United Arab Emirates
41-United Kingdom,41,United Kingdom
42-USA,42,USA
43-biz (*.biz),43,biz (*.biz)
44-com (*.com),44,com (*.com)
45-int (*.int),45,int (*.int)
46-net (*.net),46,net (*.net)
47-org (*.org),47,org (*.org)
