,main_category,location,model,price,page,weekday,region,colour_type
19,2,6,2,38,1,1,4,1
20,3,2,1,48,1,1,4,2
21,3,3,1,48,1,1,4,4
22,3,4,2,28,1,1,4,5
23,3,6,1,48,1,1,4,1
24,4,2,1,43,5,1,4,3
25,1,6,1,38,2,1,4,2
26,1,1,1,62,3,1,4,2
27,3,2,1,48,1,1,4,2
28,3,3,1,33,2,1,4,2
29,3,1,1,57,2,1,1,1
30,3,3,1,48,1,1,1,4
31,3,5,1,33,1,1,1,1
32,3,6,1,38,3,1,1,1
33,2,6,2,38,1,1,1,1
34,2,3,1,57,2,1,1,4
46,3,5,2,26,3,1,1,2
47,2,2,1,38,2,1,1,3
48,3,2,1,48,1,1,1,3
49,3,1,1,48,2,1,1,3
50,3,6,1,48,2,1,1,3
51,3,2,2,28,3,1,1,1
52,3,5,2,20,3,1,1,5
53,3,2,1,28,3,1,1,3
54,2,2,1,57,2,1,1,3
58,1,1,1,28,1,1,4,4
59,2,1,1,57,1,1,4,2
60,2,2,1,52,1,1,4,4
61,2,6,1,52,1,1,4,3
62,2,6,2,38,1,1,4,1
63,1,1,1,72,1,1,1,3
71,1,1,1,28,1,1,4,4
72,1,1,1,43,1,1,4,3
73,1,2,1,43,1,1,4,3
74,1,2,1,43,3,1,1,2
75,1,1,1,28,1,1,4,4
76,1,1,1,43,1,1,4,3
77,1,2,1,43,1,1,4,3
78,2,1,1,57,1,1,4,2
79,2,1,2,57,1,1,4,3
80,2,1,1,52,1,1,4,3
81,2,5,2,62,1,1,4,3
82,2,5,1,38,1,1,4,5
83,2,6,1,52,1,1,4,3
84,2,6,2,38,1,1,4,1
85,2,3,1,48,1,1,4,1
86,2,1,1,43,2,1,4,4
87,2,1,1,67,2,1,4,3
88,2,2,1,38,2,1,4,3
89,2,3,1,38,2,1,4,1
90,2,3,1,57,2,1,4,4
91,2,5,2,33,2,1,4,1
92,2,6,1,48,2,1,4,2
93,3,1,1,43,1,1,4,3
94,3,2,1,48,1,1,4,3
95,3,5,1,48,2,1,4,1
96,3,6,1,50,2,1,4,5
97,3,1,1,48,4,1,4,4
98,3,1,2,57,4,1,4,1
99,3,2,2,52,4,1,4,4
102,3,3,1,48,1,1,1,4
103,3,1,2,33,4,1,1,4
